Montana def. Idaho State - S1W6, 42, 35
Montana State def. Idaho - S1W6, 23, 20
Indiana State def. Southern Illinois - S1W6, 38, 28
Mississippi Valley State def. Jackson State - S1W6, 22, 19
Mercer def. Jacksonville State - S1W6, 28, 25
James Madison def. Robert Morris - S1W6, 35, 21
Lafayette def. Monmouth - S1W6, 19, 16
Lamar def. Texas Southern - S1W6, 42, 35
Wagner def. Marist - S1W6, 38, 21
Missouri State def. Tennessee State - S1W6, 31, 17
Nicholls State def. Southeastern Louisiana - S1W6, 37, 28
South Dakota State def. North Dakota - S1W6, 42, 7
Northern Arizona def. Weber State - S1W6, 31, 7
Northern Iowa def. Western Illinois - S1W6, 30, 29
UC Davis def. Portland State - S1W6, 49, 28
Sam Houston State def. Prairie View A&M - S1W6, 7, 0
Sacred Heart def. Rhode Island - S1W6, 28, 16
San Diego def. Southern Utah - S1W6, 49, 35
Wofford def. South Carolina State - S1W6, 21, 14
Tennessee Tech def. UT Martin - S1W6, 14, 7
Towson def. William & Mary - S1W6, 3, 0
Abilene Christian def. Texas Southern - S1W7, 21, 7
Alabama State def. Stetson - S1W7, 26, 23
Maine def. Albany - S1W7, 59, 36
Alcorn State def. Mississippi Valley State - S1W7, 28, 21
Arkansas-Pine Bluff def. Missouri State - S1W7, 44, 37
Austin Peay def. Morehead State - S1W7, 38, 21
Brown def. Columbia - S1W7, 35, 21
Valparaiso def. Indiana State - S1W7, 49, 48
Sacred Heart def. Bryant - S1W7, 45, 41
Butler def. Dayton - S1W7, 20, 14
Cal Poly def. Weber State - S1W7, 28, 21
Chattanooga def. Campbell - S1W7, 17, 16
Southeast Missouri def. Central Arkansas - S1W7, 35, 23
Fordham def. Central Connecticut - S1W7, 28, 22
Charleston Southern def. South Carolina State - S1W7, 7, 0
Norfolk State def. Colgate - S1W7, 7, 0
Cornell def. Penn - S1W7, 42, 19
Harvard def. Dartmouth - S1W7, 14, 7
Youngstown State def. Delaware - S1W7, 14, 7
Delaware State def. Duquesne - S1W7, 35, 21
Drake def. Western Illinois - S1W7, 40, 39
Savannah State def. East Tennessee State - S1W7, 35, 13
Southern Illinois def. Eastern Illinois - S1W7, 42, 41
Tennessee State def. Eastern Kentucky - S1W7, 48, 47
Eastern Washington def. Montana State - S1W7, 31, 21
North Carolina Central def. Elon - S1W7, 27, 25
Jacksonville State def. Florida A&M - S1W7, 38, 35
The Citadel def. Furman - S1W7, 50, 49
Gardner-Webb def. North Carolina A&T - S1W7, 30, 8
Grambling State def. Southeastern Louisiana - S1W7, 38, 10
Hampton def. Marist - S1W7, 42, 24
Houston Baptist def. Prairie View A&M - S1W7, 14, 7
James Madison def. Howard - S1W7, 30, 7
Idaho State def. Portland State - S1W7, 48, 14
Sacramento State def. Idaho - S1W7, 48, 28
Illinois State def. North Dakota State - S1W7, 47, 21
Incarnate Word def. Sam Houston State - S1W7, 45, 36
Jackson State def. William & Mary - S1W7, 24, 21
Wagner def. Lafayette - S1W7, 35, 31
Lamar def. Presbyterian - S1W7, 20, 12
Monmouth def. Lehigh - S1W7, 36, 20
McNeese State def. Nicholls State - S1W7, 36, 35
Mercer def. Samford - S1W7, 21, 7
Northern Colorado def. Montana - S1W7, 45, 35
Tennessee Tech def. Murray State - S1W7, 7, 0
Stony Brook def. New Hampshire - S1W7, 63, 42
Northern Iowa def. North Dakota - S1W7, 45, 27
Northern Arizona def. San Diego - S1W7, 45, 29
Yale def. Princeton - S1W7, 41, 13
Richmond def. Towson - S1W7, 24, 19
VMI def. Robert Morris - S1W7, 45, 28
South Dakota def. South Dakota State - S1W7, 21, 14
UC Davis def. Southern Utah - S1W7, 51, 29
Campbell def. Alabama State - S1W8, 31, 28
Albany def. Holy Cross - S1W8, 58, 27
Central Arkansas def. Alcorn State - S1W8, 48, 24
Southeast Missouri def. Arkansas-Pine Bluff - S1W8, 24, 14
Eastern Kentucky def. Austin Peay - S1W8, 28, 25
Bethune-Cookman def. Jacksonville State - S1W8, 35, 17
Princeton def. Brown - S1W8, 34, 21
Southern Illinois def. Valparaiso - S1W8, 35, 14
Maine def. Bryant - S1W8, 51, 35
Duquesne def. Bucknell - S1W8, 28, 21
